City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,lucas,41.6501,-83.6666,16.16,59,Clear,3.6,US,1727913808
227,inarajan village,13.2736,144.7484,27.44,92,Clouds,3.98,GU,1727913809
228,tvoroyri,61.5556,-6.8111,9.95,91,Clouds,3.88,FO,1727913810
229,cartagena del chaira,1.3349,-74.8429,25.94,74,Clouds,1.45,CO,1727913811
230,tarauaca,-8.1614,-70.7656,30.21,44,Clouds,0.29,BR,1727913812
231,smithers,54.7804,-127.1743,8.18,87,Clouds,2.57,CA,1727913813
232,saynshand,44.8824,110.1163,7.21,59,Clear,5.71,MN,1727913815
233,saldanha,-33.0117,17.9442,16.51,53,Clouds,6.98,ZA,1727913816
234,khor,47.8861,134.9464,10.57,53,Clear,6.0,RU,1727913817
235,egilsstadir,65.2653,-14.3948,3.95,93,Clouds,1.54,IS,1727913818
236,mejit,10.2753,170.8646,28.34,78,Rain,5.51,MH,1727913819
237,sodra sandby,56.5667,16.6167,9.92,65,Clouds,7.77,SE,1727913820
238,kailua-kona,19.6406,-155.9956,29.75,85,Clouds,1.34,US,1727913821
239,satun,6.8333,100.0,25.08,92,Clouds,0.06,TH,1727913822
240,salinas,36.6777,-121.6555,31.05,48,Clear,5.14,US,1727913664
241,baoqing,46.3317,132.2111,11.7,49,Clear,4.51,CN,1727913824
242,coyhaique,-45.5752,-72.0662,1.76,99,Clouds,3.25,CL,1727913826
243,vuktyl,63.8567,57.3094,4.6,78,Clouds,2.8,RU,1727913827
244,vytegra,61.0064,36.4481,9.9,73,Clouds,2.84,RU,1727913828
245,lycksele,64.5954,18.6735,-2.07,100,Fog,0.0,SE,1727913829
246,amga,60.8953,131.9608,2.44,85,Clouds,1.61,RU,1727913830
247,zyryanskoye,56.8306,86.6258,4.6,78,Clouds,3.62,RU,1727913831
248,lihue,21.9789,-159.3672,28.77,68,Rain,3.09,US,1727913832
249,flin flon,54.7682,-101.865,5.91,52,Clouds,6.69,CA,1727913835
250,afaahiti,-17.75,-149.2833,25.29,78,Rain,3.31,PF,1727913836
251,morehead city,34.7229,-76.726,23.33,82,Clouds,2.06,US,1727913837
252,sisimiut,66.9395,-53.6735,5.59,61,Clouds,4.12,GL,1727913838
253,yanykurgan,43.915,67.2481,16.85,37,Clouds,2.5,KZ,1727913839
254,mili,6.0815,171.735,28.35,70,Rain,0.49,MH,1727913840
255,zinder,13.8072,8.9881,30.93,32,Clouds,1.99,NE,1727913841
256,tevriz,57.509,72.4042,1.48,88,Clouds,2.31,RU,1727913842
257,santana,-0.0583,-51.1817,28.1,78,Clouds,3.6,BR,1727913844
258,thohoyandou,-22.9456,30.485,12.85,72,Clouds,4.57,ZA,1727913845
259,moranbah,-22.0016,148.0466,24.3,41,Clear,8.83,AU,1727913846
260,puerto deseado,-47.7503,-65.8938,7.95,69,Clouds,7.6,AR,1727913847
261,san antonio de pale,-1.4014,5.6325,24.61,79,Clouds,4.59,GQ,1727913848
262,linares,-35.85,-71.6,8.14,88,Clouds,1.98,CL,1727913849
263,bamboo flat,11.7,92.7167,25.05,100,Mist,2.57,IN,1727913850
264,newcastle under lyme,53.0,-2.2333,7.36,90,Clear,0.45,GB,1727913851
265,susuman,62.7833,148.1667,-3.68,88,Clouds,1.15,RU,1727913853
266,queenstown,-31.8976,26.8753,9.51,77,Clouds,1.62,ZA,1727913854
267,zhalantun,48.0,122.7167,10.98,51,Clouds,1.89,CN,1727913855
268,hermanus,-34.4187,19.2345,14.89,84,Clouds,7.96,ZA,1727913856
269,neiafu,-18.65,-173.9833,26.38,94,Rain,6.17,TO,1727913857
270,poronaysk,49.2167,143.1167,12.79,55,Clear,8.8,RU,1727913859
271,luderitz,-26.6481,15.1594,23.82,18,Clouds,6.19,NA,1727913860
272,klyuchi,52.2667,79.1667,2.67,66,Clear,3.33,RU,1727913861
273,tchintabaraden,15.8969,5.7985,34.43,19,Clouds,2.69,NE,1727913862
274,kapa'a,22.0752,-159.319,29.18,73,Rain,3.09,US,1727913863
275,vadso,70.0744,29.7487,1.09,86,Clouds,4.12,NO,1727913864
276,pyhajarvi,67.0701,27.2176,-0.81,83,Clouds,0.47,FI,1727913866
277,greymouth,-42.4667,171.2,11.06,88,Clouds,2.94,NZ,1727913621
278,ghat,24.9647,10.1728,27.76,27,Clear,1.2,LY,1727913868
279,namibe,-15.1961,12.1522,18.79,82,Clouds,4.93,AO,1727913870
280,rongelap,11.1635,166.8941,28.65,78,Rain,6.57,MH,1727913871
281,la'ie,21.6477,-157.9253,30.66,69,Clear,5.89,US,1727913872
282,lerwick,60.1545,-1.1494,9.49,83,Clouds,2.19,GB,1727913873
283,astrakhan,46.3497,48.0408,15.93,55,Clear,2.0,RU,1727913631
284,aitape,-3.1374,142.3475,29.75,65,Clouds,1.27,PG,1727913875
285,uvalde,29.3669,-99.767,31.55,26,Clear,4.63,US,1727913876
286,dzuunmod,48.2199,97.3744,3.64,51,Clouds,3.5,MN,1727913878
287,miri,4.4148,114.0089,24.08,100,Rain,0.0,MY,1727913880
288,vasto,42.1243,14.7059,18.5,75,Rain,3.15,IT,1727913882
289,villanueva de cordoba,38.3228,-4.6287,17.35,90,Clouds,4.85,ES,1727913883
290,labytnangi,66.6572,66.4183,3.72,77,Clouds,7.63,RU,1727913885
291,misliyah,17.4599,42.5572,29.87,71,Clear,1.16,SA,1727913886
292,roma,43.2128,-75.4557,14.09,99,Clouds,0.45,US,1727913887
293,murun-kuren,49.6342,100.1625,9.05,51,Clouds,1.24,MN,1727913888
294,vsetin,49.3387,17.9962,10.49,94,Clouds,0.45,CZ,1727913889
295,glenvale,-27.5648,151.9076,16.6,61,Clouds,3.58,AU,1727913890
296,lubango,-14.9172,13.4925,18.92,68,Clear,2.57,AO,1727913891
297,puerto lempira,15.2667,-83.7667,30.08,70,Clouds,4.12,HN,1727913892
298,kone,-21.0595,164.8658,27.04,42,Clouds,4.85,NC,1727913896
299,mpulungu,-8.7623,31.1141,25.16,47,Clouds,5.19,ZM,1727913897
300,kolonia town,6.964,158.206,29.06,79,Rain,2.06,FM,1727913898
301,tual,-5.6667,132.75,26.58,85,Clouds,7.79,ID,1727913899
302,karasburg,-28.0167,18.75,16.76,9,Clouds,5.89,NA,1727913900
303,isla mujeres,21.2311,-86.731,29.03,84,Rain,4.49,MX,1727913901
304,fort bragg,35.139,-79.006,22.91,88,Clear,2.06,US,1727913903
305,yangju,37.8331,127.0617,15.2,56,Clear,2.08,KR,1727913904
306,jayapura,-2.5333,140.7,28.66,79,Clouds,1.53,ID,1727913824
307,arauca,7.0847,-70.7591,30.98,70,Clouds,1.03,CO,1727913906
308,wakkanai,45.4094,141.6739,12.99,67,Clouds,3.09,JP,1727913907
309,dwarka,22.2394,68.9678,27.42,78,Clouds,6.01,IN,1727913908
310,turbat,26.0023,63.044,27.7,66,Clear,1.17,PK,1727913909
311,saurimo,-9.6608,20.3916,20.21,69,Clouds,1.43,AO,1727913910
312,east london,-33.0153,27.9116,15.77,72,Clouds,3.98,ZA,1727913913
313,happy valley-goose bay,53.3168,-60.3315,8.17,87,Clear,0.0,CA,1727913914
314,vernon,50.2581,-119.2691,18.29,33,Clouds,1.03,CA,1727913634
315,carnarvon,-24.8667,113.6333,17.48,65,Clouds,5.84,AU,1727913916
316,kayes,14.0,-11.0,25.14,86,Clouds,2.38,ML,1727913918
317,ouallam,14.3188,2.0866,29.2,56,Clouds,3.39,NE,1727913919
318,boa vista,2.8197,-60.6733,26.99,74,Clouds,4.63,BR,1727913921
319,satow-oberhagen,54.0,11.8833,10.82,75,Clouds,4.59,DE,1727913922
320,olonkinbyen,70.9221,-8.7187,-1.53,68,Clouds,6.57,SJ,1727913923
321,saudarkrokur,65.7461,-19.6394,5.75,94,Rain,2.47,IS,1727913924
322,vorkuta,67.5,64.0,2.31,96,Clouds,8.84,RU,1727913925
323,santa maria,-29.6842,-53.8069,15.61,63,Clouds,0.51,BR,1727913926
324,balabac,7.9868,117.0645,28.31,79,Clouds,2.86,PH,1727913927
325,geraldton,-28.7667,114.6,16.23,72,Clouds,7.72,AU,1727913928
326,hohhot,40.8106,111.6522,0.16,86,Clear,2.0,CN,1727913929
327,inhambane,-23.865,35.3833,20.51,64,Clouds,7.39,MZ,1727913931
328,krumovgrad,41.4667,25.65,12.22,87,Clear,2.01,BG,1727913932
329,portland,45.5234,-122.6762,20.75,40,Clear,5.14,US,1727913519
330,san andres,12.5847,-81.7006,28.01,78,Clouds,1.54,CO,1727913934
331,cam ranh,11.9214,109.1591,25.98,89,Rain,3.6,VN,1727913935
332,campo maior,-4.8278,-42.1686,32.11,35,Clouds,1.95,BR,1727913937
333,vodnyy,63.5046,53.4095,5.67,84,Clouds,1.68,RU,1727913938
334,puerto madryn,-42.7692,-65.0385,8.44,67,Clouds,8.57,AR,1727913939
335,faya-largeau,17.9257,19.1043,31.3,26,Clear,7.89,TD,1727913941
336,oulmes,33.4258,-6.0014,17.89,61,Clouds,1.71,MA,1727913942
337,libiaz,50.104,19.3157,9.86,94,Clouds,2.04,PL,1727913943
338,ko pha ngan,9.7578,100.0291,24.38,73,Clouds,3.1,TH,1727913944
339,cole harbour,44.6724,-63.4751,13.71,84,Clouds,3.09,CA,1727913945
340,kilju,40.9642,129.3278,14.26,45,Clear,0.31,KP,1727913946
